Tarih,Max_Sicaklik_C,Min_Sicaklik_C,Yagis_Miktari_mm
2023-01-13,14.8,2.8,0.0
2023-01-14,14.0,1.6,0.0
2023-01-15,11.4,0.9,0.0
2023-01-16,12.8,1.0,0.0
2023-01-17,17.6,3.8,0.0
2023-01-18,18.4,5.9,0.0
2023-01-19,20.0,6.9,0.0
2023-01-20,19.2,6.2,0.0
2023-01-21,16.5,6.4,0.0
2023-01-22,15.9,0.7,0.0
2023-01-23,10.2,3.4,0.0
2023-01-24,10.1,6.2,0.0
2023-01-25,9.6,6.7,0.3
2023-01-26,11.4,1.8,1.3
2023-01-27,17.0,0.3,0.1
2023-01-28,16.5,4.7,0.0
2023-01-29,8.9,3.8,9.7
2023-01-30,8.4,4.9,9.3
2023-01-31,8.1,4.3,8.4
2023-02-01,6.3,4.4,16.5
2023-02-02,9.8,1.4,0.1
2023-02-03,10.1,2.3,2.4
2023-02-04,9.1,2.5,0.9
2023-02-05,10.1,0.1,0.0
2023-02-06,6.3,3.3,17.9
2023-02-07,4.2,1.5,11.2
2023-02-08,4.2,1.5,6.1
2023-02-09,7.2,2.1,0.3
2023-02-10,6.8,-0.1,0.4
2023-02-11,5.5,2.0,3.3
2023-02-12,7.8,-2.2,0.1
2023-02-13,5.4,-0.2,7.3
2023-02-14,8.5,-1.2,0.0
2023-02-15,5.9,1.7,8.2
2023-02-16,5.8,1.2,9.8
2023-02-17,11.9,-1.3,0.0
2023-02-18,14.4,6.6,0.7
2023-02-19,17.9,7.2,1.3
2023-02-20,12.2,4.6,6.1
2023-02-21,16.8,0.6,0.0
2023-02-22,14.4,5.9,0.0
2023-02-23,9.9,5.2,2.1
2023-02-24,10.7,2.9,0.0
2023-02-25,19.7,4.8,0.0
